"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18118","Можно очистить теги знаний из шаблона активности","","2026-03-11","passed","2026-03-11","Обычный шаблон активности","Активность","TemplateEditingTests","CheckClearAddedTagsFromActivityTemplate"
"","34304","Преподаватель может изменить комментарий к ответу, если была отмечена галка Отображать студентам подробную информацию о результатах","Активность","2026-03-11","passed","2026-03-11","Результат прохождения теста","Контрольная","TestActivityResultTests","CheckTeacherCanLeaveCommentOnAnswer"
"","21024","Статус меняется, если преподаватель меняет минимальный порог баллов в командной контрольной","Активность","2026-03-11","passed","2026-03-11","Прохождение теста","Контрольная","TestActivityStatusWithOneAttemptTests","CheckStatusChangesIfMinThresholdChanged"
"","21042","Успешное сохранение при корректных значениях в поле Количество попыток сдачи","Активность","2026-03-11","passed","2026-03-11","Редактирование контрольной","Контрольная","TestActivityEditingTests","CheckSuccessSaveWithCorrectValueInNumbOfAttemptsField"
"","30138","Статус меняется, если преподаватель меняет минимальный порог баллов в индивидуальной контрольной","Активность","2026-03-11","passed","2026-03-11","Прохождение теста","Контрольная","TestActivityStatusWithOneAttemptTests","CheckStatusChangesIfMinThresholdChanged"
"","101427","Видимость материала вне времени проведения активности","Активность","2026-03-11","passed","2026-03-11","Редактирование активности","Обычная активность","ActivityContentVisibilityTests","CheckVisibilityMaterialOutsideTimeActivity"
"","27860","Ошибка валидации в поле Количество попыток сдачи, если введено значение 0","Активность","2026-03-11","passed","2026-03-11","Редактирование контрольной","Контрольная","TestActivityEditingTests","CheckErrorInNumOfAttemptsFieldWithIncorrectValue"
"","28696","Отсутствует статус и иконка для одной незавершенной попытки в индивидуальной контрольной","Активность","2026-03-11","passed","2026-03-11","Прохождение теста","Контрольная","TestActivityStatusWithOneAttemptTests","CheckNoStatusWithOneIncompleteAttempt"
"","31843","Можно оценить решение значением выше минимального порога баллов","Активность","2026-03-11","passed","2026-03-11","Страница решения задания для преподавателя","Задание","TaskActivityTeacherTests","CheckGradeSolutionValueAboveAndBelowScore"
"","19846","Можно отметить Верно на ответ в вопросе, который был отмечен как Неверно","Активность","2026-03-11","passed","2026-03-11","Результат прохождения теста","Контрольная","TestActivityResultTests","CheckMarkCorrectAnswerThatWasMarkedAsIncorrect"
"","24643","Ошибка валидации в поле Количество попыток сдачи, если введено значение больше 20","Активность","2026-03-11","passed","2026-03-11","Редактирование контрольной","Контрольная","TestActivityEditingTests","CheckErrorInNumOfAttemptsFieldWithIncorrectValue"
"","76491","Результат тестирования в попытках зависит от настройки За лучшую попытку в индивидуальной контрольной","Активность","2026-03-11","passed","2026-03-11","Прохождение теста","Контрольная","TestActivityStatusWithTwoOrMoreAttemptsTests","CheckResultOfPassingDependOnSettings"
"","47086","Можно создать активность из шаблона","Активность","2026-03-11","passed","2026-03-11","Создание активности","Обычная активность","ActivityCreatingTests","CheckCreateActivityFromTemplate"
"","15678","Можно оценить решения значением 0","Активность","2026-03-11","passed","2026-03-11","Страница решения задания для преподавателя","Задание","TaskActivityTeacherTests","CheckGradeSolutionWithZeroValue"
"","46474","Статус и цвет у количества баллов в попытке различаются в зависимости от успешности в индивидуальной контрольной","Активность","2026-03-11","passed","2026-03-11","Прохождение теста","Контрольная","TestActivityStatusWithOneAttemptTests","CheckStatusScoreColorAndIcon"
"","21094","Можно переключится на формат активности Гибридная","Активность","2026-03-11","passed","2026-03-11","Редактирование активности","Обычная активность","ActivityEditingFormatTests","CheckSwitchToHybridActivityFormat"
"","36148","Можно загрузить материал типа Файл с компьютера в контрольную","Активность","2026-03-11","passed","2026-03-11","Редактирование контрольной","Контрольная","TestActivityAddingTests","CheckAddFileToControlTypeActivity"
"","14704","Ошибка валидации в поле Количество попыток сдачи, если введено значение больше 20","Активность","2026-03-11","passed","2026-03-11","Редактирование шаблона контрольной","Шаблон активности контрольной","TestTemplateEditingTests","CheckErrorInEditingNumOfAttemptsWithIncorrectValue"
"","53263","Можно добавить материал типа Тест-тренажёр из Библиотеки в шаблон контрольной","Активность","2026-03-11","broken","2026-03-11","Редактирование шаблона контрольной","Шаблон активности контрольной","TestTemplateAddingTests","CheckAddTestTrainToControlActivityPlan"
"","29090","Отправка решений после даты окончания активности","Активность","2026-03-11","passed","2026-03-11","Страница решения задания для студента","Задание","TaskWithoutSolutionStudentTests","CheckAccessFormWithoutSolution"
"","14091","Отображение ошибки валидации для поля Объем в академических часах со значением больше 100","Активность","2026-03-11","passed","2026-03-11","Редактирование активности","Обычная активность","ActivityDurationTests","CheckEditActivityVolumeWithIncorrectValue"
"","33649","Можно загрузить материал типа Файл с компьютера в активность","Активность","2026-03-11","passed","2026-03-11","Редактирование активности","Обычная активность","ActivityAddingTests","CheckAddFileMaterialToActivity"
"","11612","Кнопка Оценить некликабельна, если решение еще не оценено","Активность","2026-03-11","passed","2026-03-11","Страница решения задания для преподавателя","Задание","TaskActivityTeacherTests","CheckGradeSolutionWithoutValue"
"","19885","Можно переключать значения в поле Оценка в контрольной","Активность","2026-03-11","passed","2026-03-11","Редактирование контрольной","Контрольная","TestActivityEditingTests","CheckEditScoreValueInControlTypeActivity"
"","22949","Работает кнопка 'Редактировать' для преподавателя","Активность","2026-03-11","passed","2026-03-11","Редактирование активности","Обычная активность","ActivityEditingTests","CheckOpenEditActivityPage"
"","32730","Можно очистить теги знаний","Активность","2026-03-11","broken","2026-03-11","Редактирование активности","Обычная активность","ActivityEditingTests","CheckClearAddedTagFromActivity"
"","67365","Результат тестирования в попытках зависит от настройки За лучшую попытку в командной контрольной","Активность","2026-03-11","passed","2026-03-11","Прохождение теста","Контрольная","TestActivityStatusWithTwoOrMoreAttemptsTests","CheckResultOfPassingDependOnSettings"
"","2348","Невозможно удалить контрольную при наличии оценок","Активность","2026-03-11","passed","2026-03-11","Редактирование контрольной","Контрольная","TestActivityEditingTests","CheckErrorIsAppearIfRemoveTestActivityWithScore"
"","36051","Можно удалить команду из командной контрольной","Активность","2026-03-11","passed","2026-03-11","Страница контрольной","Контрольная","TestCommandActivityTests","CheckRemoveTeamFromCommandControlActivity"
